question,intent,response,source_url
Quit,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Exit,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Have a good day,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Bye bye,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Catch you later,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
I am done,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Close chat,goodbye,Goodbye! Wish you all the best in your academic journey at Kalinga University. Feel free to return if you have more questions!,https://kalingauniversity.ac.in/
Thanks,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Thank you,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Thanks a lot,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Thank you very much,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Appreciate your help,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
That was helpful,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Great info thanks,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Thanks bot,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Thank you assistant,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Awesome thanks,thanks,You're very welcome! Let me know if you need any more details about Kalinga University.,https://kalingauniversity.ac.in/
Who are you?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
What is your name?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Are you human?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
What can you do?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Tell me about yourself,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Who created you?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Are you an AI?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
What is this chatbot?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Who am I talking to?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Identify yourself,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
What is your purpose?,bot_identity,"I'm the Kalinga University AI Student Assistant, a project chatbot designed to help students find official information about admissions, courses, fees, scholarships, internships, placements, and campus facilities.",https://kalingauniversity.ac.in/
Tell me about Kalinga University,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Where is Kalinga University located?,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Is Kalinga University good?,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Give me an overview of Kalinga University,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
What is Kalinga University famous for?,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
How many programs does Kalinga offer?,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Is Kalinga University recognized?,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
University highlights,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Kalinga University location,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Where is the campus?,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Tell me about KU Raipur,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
Kalinga University Naya Raipur,university_overview,"According to information published by Kalinga University, it is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh. The university advertises 130+ undergraduate, postgraduate, and doctoral programs, 650+ international students from 33+ countries, 400+ recruitment partners, 7,200+ research publications, and 562+ patents.",https://kalingauniversity.ac.in/
How to contact Kalinga University?,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
What is the admission helpline number?,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
University contact email,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
Registrar email address,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
Kalinga University phone number,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
Admission inquiry contact,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
How can I call the university?,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
Where to send query email?,contact_information,"You can contact Kalinga University via phone at +91-9907252100 or email at registrar@kalingauniversity.ac.in. The campus is located in Kotni, Near Mantralaya, Naya Raipur, Chhattisgarh.",https://kalingauniversity.ac.in/
What is the weather today?,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
Who won the cricket match?,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
Tell me a joke,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
Who is the president of America?,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
How to cook biryani?,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
What is Bitcoin price?,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
Can you play music?,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
Random text 123,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
asdfghjkl,unknown,"I'm not fully sure about that question. I can currently help with:
• Admissions & Entrance Exams
• Courses & Programs
• Fee Structure
• Scholarships
• Internships & Industry Exposure
• Placements & Recruiters
• Campus Facilities
Please rephrase your question or choose one of these topics.",https://kalingauniversity.ac.in/
What is the admission procedure?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
How can I apply for admission?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
How to get admission in Kalinga University?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
Tell me the step by step admission process,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
How do I register for admission?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
What are the steps to join Kalinga University?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
Can I apply online?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
Admission process 2026-27,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
How do I take admission?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
What is the procedure after shortlisting?,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
Application steps for KU,admission_process,"According to Kalinga University's published admission procedure, the steps are:
1. Visit the official admissions portal (https://kalingauniversity.ac.in/admissions).
2. Register for the relevant entrance exam (KALSEE for general programs or KAL-MAT for BBA/MBA).
3. Appear for the computer-based entrance examination.
4. Complete the online admission form after being shortlisted.
5. Submit self-attested academic documents.
6. Pay the applicable program fee within 10 days of receiving the offer letter.",https://kalingauniversity.ac.in/admission-procedure
Are admissions open for 2026-27?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Is admission open right now?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
What is the current admission status?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Can I apply today?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Has phase 4 admission closed?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Is 2026-27 intake still open?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Are seats available for admission?,admission_status,"Kalinga University's website displays 'Admission Open 2026–27'. However, admission dates can change by program and phase. Please verify the current live admission status on Kalinga University's official admission page.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Where is the admission application form?,admission_application,You can access and complete the online admission application form through Kalinga University's official admission portal at https://kalingauniversity.ac.in/admissions?studyLevel=UG.,https://kalingauniversity.ac.in/admissions?studyLevel=UG
How to fill the application form?,admission_application,You can access and complete the online admission application form through Kalinga University's official admission portal at https://kalingauniversity.ac.in/admissions?studyLevel=UG.,https://kalingauniversity.ac.in/admissions?studyLevel=UG
Online application link,admission_application,You can access and complete the online admission application form through Kalinga University's official admission portal at https://kalingauniversity.ac.in/admissions?studyLevel=UG.,https://kalingauniversity.ac.in/admissions?studyLevel=UG
Kalinga admission portal,admission_application,You can access and complete the online admission application form through Kalinga University's official admission portal at https://kalingauniversity.ac.in/admissions?studyLevel=UG.,https://kalingauniversity.ac.in/admissions?studyLevel=UG
Where do I fill my details for admission?,admission_application,You can access and complete the online admission application form through Kalinga University's official admission portal at https://kalingauniversity.ac.in/admissions?studyLevel=UG.,https://kalingauniversity.ac.in/admissions?studyLevel=UG
What documents are required for admission?,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
List of documents needed for joining,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
Document verification list,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
What certificates do I need to submit?,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
Do I need transfer certificate for admission?,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
Is gap certificate required?,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
Documents for registration,admission_documents,"According to Kalinga University's admission policy, required documents include:
• 10th & 12th Mark sheets and passing certificates
• Graduation mark sheets (for PG applicants)
• Original Transfer Certificate (TC) / College Leaving Certificate (CLC)
• Character Certificate (CC) & Migration Certificate
• Gap Certificate / Undertaking (if applicable)
• Proof of employment (for working professionals)
• Passport size photos and ID Proof (Aadhaar / Passport)",https://kalingauniversity.ac.in/admission-procedure
What are the eligibility requirements?,admission_eligibility,"Eligibility depends on the specific program. Generally, UG programs require completion of 10+2 from a recognized board, PG programs require a relevant Bachelor's degree, and candidates must meet the minimum qualifying score in entrance tests like KALSEE or KAL-MAT.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Am I eligible for admission?,admission_eligibility,"Eligibility depends on the specific program. Generally, UG programs require completion of 10+2 from a recognized board, PG programs require a relevant Bachelor's degree, and candidates must meet the minimum qualifying score in entrance tests like KALSEE or KAL-MAT.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Eligibility criteria for UG courses,admission_eligibility,"Eligibility depends on the specific program. Generally, UG programs require completion of 10+2 from a recognized board, PG programs require a relevant Bachelor's degree, and candidates must meet the minimum qualifying score in entrance tests like KALSEE or KAL-MAT.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Eligibility criteria for PG courses,admission_eligibility,"Eligibility depends on the specific program. Generally, UG programs require completion of 10+2 from a recognized board, PG programs require a relevant Bachelor's degree, and candidates must meet the minimum qualifying score in entrance tests like KALSEE or KAL-MAT.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
What percentage is required for admission?,admission_eligibility,"Eligibility depends on the specific program. Generally, UG programs require completion of 10+2 from a recognized board, PG programs require a relevant Bachelor's degree, and candidates must meet the minimum qualifying score in entrance tests like KALSEE or KAL-MAT.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
Who can apply for Kalinga University?,admission_eligibility,"Eligibility depends on the specific program. Generally, UG programs require completion of 10+2 from a recognized board, PG programs require a relevant Bachelor's degree, and candidates must meet the minimum qualifying score in entrance tests like KALSEE or KAL-MAT.",https://kalingauniversity.ac.in/admissions?studyLevel=UG
What entrance exam do I need?,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
What entrance exam is required?,entrance_exam,"Kalinga University requires entrance examinations for admissions: BBA and MBA applicants take KAL-MAT, while applicants for other UG/PG programs take KALSEE (Kalinga Scholastic Entrance Examination). Ph.D. programs have a separate entrance test.",https://kalingauniversity.ac.in/kalsee
