name,short_name,level,department,url,specializations,clubs,faq_count,career_paths,fee_schedule_row,tenure_years,semesters,tuition_per_semester_inr,exam_fee_per_semester_inr,total_fees_inr,lateral_entry_total_inr,fee_note
Bachelor of Computer Applications in Game Development with Artificial Intelligence,BCA in Game Development with AI,UG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/bca-in-game-development-with-ai,,,5,9,BCA in Game Development with AI,3,6,70000,1500,438350,,
Bachelor of Computer Science in AI & ML and Cybersecurity,B.CS in AI & ML and Cybersecurity,UG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/bachelor-of-computer-science-in-ai-ml-and-cybersecurity,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,B. CS in AI & ML and Cyber Security,3,6,37500,1500,243350,,
Bachelor of Education,B.Ed.,UG,Faculty of Education,https://kalingauniversity.ac.in/courses/bachelor-of-education,B.SC B.ED. SPL. ED (Bachelor of Science and Bachelor of Education in Special Education); B.Com. B.ED. SPL. ED (Bachelor of Commerce and Bachelor of Education in Special Education); BA B.ED. SPL. ED (Bachelor of Arts and Bachelor of Education in Special Education),Sports Centre; Student Clubs; Student Welfare Services,5,9,Bachelor of Education,2,4,33970,1500,78890,,
Bachelor of Fashion Design,B.FD,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-fashion-design,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,5,9,Bachelors of Fashion Design (B.FD),3,6,30000,1500,193400,130400,
Bachelor of Interior Design,B.ID,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-interior-design,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,5,9,Bachelors of Interior Design (B.ID),3,6,30000,1500,193400,130400,
Bachelor of Law,LLB,UG,Faculty of Law,https://kalingauniversity.ac.in/courses/bachelor-of-law,,Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF); Student Welfare Services,5,9,LLB,3,6,32500,1500,208400,,
Bachelor of Library & Information Science,B.Lib,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-library-information-science,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,Bachelor of Library & Information Science (B. Lib.),1,2,16000,1500,39400,,
Bachelor of Pharmacy,B.Pharmacy,UG,Faculty of Pharmacy,https://kalingauniversity.ac.in/courses/bachelor-of-pharmacy,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,B. Pharmacy,4,8,60000,1500,502450,379450,
Bachelor of Physical Education,B.P.Ed.,UG,Faculty of Education,https://kalingauniversity.ac.in/courses/bachelor-of-physical-education,,Sports Centre; Student Clubs; Student Welfare Services,5,9,Bachelor of Physical Education,2,4,35000,1500,150400,,
Bachelor of Science in Biochemistry,B.Sc. in Biochemistry,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-biochemistry,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,B.Sc. (Biochemistry / Bioinformatics),3,6,35000,1500,223400,,Fee row covers several programmes: B.Sc. (Biochemistry / Bioinformatics)
Bachelor of Science in Bioinformatics,B.Sc. in Bioinformatics,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-bioinformatics,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,B.Sc. (Biochemistry / Bioinformatics),3,6,35000,1500,223400,,Fee row covers several programmes: B.Sc. (Biochemistry / Bioinformatics)
Bachelor of Science in Biotechnology,B.Sc. in Biotechnology,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-biotechnology,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,B.Sc. (Biotechnology / Microbiology),3,6,35000,1500,228350,,Fee row covers several programmes: B.Sc. (Biotechnology / Microbiology)
Bachelor of Science in Forensic Science,B.Sc. [Forensic Science],UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-forensic-science,,,5,9,Bachelor of Science (Forensic Science),3,6,60000,1500,378350,,
Bachelor of Science in Hotel Management,B.Sc. in Hotel Management,UG,Faculty of Hotel Management,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-hotel-management,,,5,9,,,,,,,,Not listed separately in the 2026-27 fee schedule
Bachelor of Science in Microbiology,B.Sc. in Microbiology,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-microbiology,,,5,9,B.Sc. (Biotechnology / Microbiology),3,6,35000,1500,228350,,Fee row covers several programmes: B.Sc. (Biotechnology / Microbiology)
"Bachelor of Science in Physics, Chemistry and Mathematics","B.Sc. [Physics, Chemistry, Mathematics]",UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-physics-chemistry-mathematics,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,5,9,B. Sc. (Medical - ZCB) / (Non Medical - PCM),3,6,25000,1500,168350,,Fee row covers several programmes: B. Sc. (Medical - ZCB) / (Non Medical - PCM)
Bachelor of Science in Yoga,B.Sc. in Yoga,UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-in-yoga,,Sports Centre; Student Clubs; Student Welfare Services,5,9,BSc Yoga,3,6,20000,1500,133400,,
"Bachelor of Science in Zoology, Botany, Chemistry","B.Sc. [Zoology, Botany, Chemistry]",UG,Faculty of Science,https://kalingauniversity.ac.in/courses/bachelor-of-science-zoology-botany-chemistry,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,5,9,B. Sc. (Medical - ZCB) / (Non Medical - PCM),3,6,25000,1500,168350,,Fee row covers several programmes: B. Sc. (Medical - ZCB) / (Non Medical - PCM)
Bachelor of Social Work (With PSC Coaching),BSW [With PSC Coaching],UG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/bachelor-of-social-work-with-psc-coaching,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,BSW with PSC Coaching,3,6,20000,1500,133400,,
Bachelor of Technology CS in AI & ML [In Collaboration with IBM],B.Tech CS in AI & ML,UG,Faculty of Technology,https://kalingauniversity.ac.in/courses/bachelor-of-technology-in-computer-science-artificial-intelligence-machine-learning,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,B.Tech CS in AI & ML (in collaboration with IBM),4,8,75000,1500,621350,,
Bachelor of Technology in Civil Engineering,B.Tech Civil,UG,Faculty of Technology,https://kalingauniversity.ac.in/courses/bachelor-of-technology-in-civil,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,B.Tech (Electrical / Mechanical / Civil),4,8,50000,1500,421350,318350,Fee row covers several programmes: B.Tech (Electrical / Mechanical / Civil)
Bachelor of Technology in Computer Science Engineering,B.Tech CS,UG,Faculty of Technology,https://kalingauniversity.ac.in/courses/bachelor-of-technology-in-computer-science,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,B.Tech in Computer Science,4,8,65000,1500,541350,408350,
Bachelor of Technology in Electrical Engineering,B.Tech Electrical,UG,Faculty of Technology,https://kalingauniversity.ac.in/courses/bachelor-of-technology-in-electrical-engineering,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,B.Tech (Electrical / Mechanical / Civil),4,8,50000,1500,421350,318350,Fee row covers several programmes: B.Tech (Electrical / Mechanical / Civil)
Bachelor of Technology in Mechanical Engineering,B.Tech Mechanical,UG,Faculty of Technology,https://kalingauniversity.ac.in/courses/bachelor-of-technology-in-mechanical-engineering,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,B.Tech (Electrical / Mechanical / Civil),4,8,50000,1500,421350,318350,Fee row covers several programmes: B.Tech (Electrical / Mechanical / Civil)
Diploma in Civil Engineering,,Diploma,Faculty of Technology,https://kalingauniversity.ac.in/courses/diploma-in-engineering-in-civil,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Diploma in Engineering,3,6,30000,1500,198350,135350,Fee row covers several programmes: Diploma in Engineering
Diploma in Computer Applications,DCA,Diploma,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/diploma-in-computer-applications,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Diploma in Computer Application (DCA),1,2,7500,1500,22400,,
Diploma in Computer Science Engineering,,Diploma,Faculty of Technology,https://kalingauniversity.ac.in/courses/diploma-in-computer-science-engineering,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Diploma in Engineering,3,6,30000,1500,198350,135350,Fee row covers several programmes: Diploma in Engineering
Diploma in Electrical Engineering,,Diploma,Faculty of Technology,https://kalingauniversity.ac.in/courses/diploma-in-electrical-engineering,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Diploma in Engineering,3,6,30000,1500,198350,135350,Fee row covers several programmes: Diploma in Engineering
Diploma in Mechanical Engineering,,Diploma,Faculty of Technology,https://kalingauniversity.ac.in/courses/diploma-in-engineering-in-mechanical,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Diploma in Engineering,3,6,30000,1500,198350,135350,Fee row covers several programmes: Diploma in Engineering
Diploma in Mining Engineering,,Diploma,Faculty of Technology,https://kalingauniversity.ac.in/courses/diploma-in-mining-engineering,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Diploma in Engineering,3,6,30000,1500,198350,135350,Fee row covers several programmes: Diploma in Engineering
Diploma in Pharmacy,,Diploma,Faculty of Pharmacy,https://kalingauniversity.ac.in/courses/diploma-in-pharmacy,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,D. Pharmacy,2,4,50000,1500,213450,,
Diploma in Yoga,,Diploma,Faculty of Science,https://kalingauniversity.ac.in/courses/diploma-in-yoga,,Sports Centre; Student Clubs; Student Welfare Services,5,9,Diploma in Yoga,1,2,17500,1500,42400,,
Doctor of Pharmacy,Pharm.D,UG,Faculty of Pharmacy,https://kalingauniversity.ac.in/courses/doctor-of-pharmacy,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,Pharma.D,6,12,65000,1500,808450,,
Master of Animation & Visual Effects,M.An & VFX,PG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/master-of-animation-visual-effects,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Master of Animation & Visual Effects (M. An & Vfx),2,4,65000,1500,270400,,
Master of Arts (With PSC Coaching),MA [With PSC Coaching],PG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/master-of-arts-with-psc-coaching,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,MA,2,4,17500,1500,80400,,
Master of Arts in Education,MA in Education,PG,Faculty of Education,https://kalingauniversity.ac.in/courses/master-of-arts-in-education,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,MA (Education),2,4,18000,1500,82400,,
Master of Arts in Film Making [In Collaboration with Niira educom],MA in Film Making,PG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/master-of-arts-in-film-making,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,10,9,MA Film Making,2,4,40000,1500,170400,,
Master of Arts in Journalism and Mass Communication with PSC Coaching,MA (J & MC) with PSC Coaching,PG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/master-of-arts-in-journalism-and-mass-communication-with-psc-coaching,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,MA (J & MC) with PSC Coaching,2,4,27500,1500,120400,,
Master of Arts in Physical Education,MA in Physical Education,PG,Faculty of Education,https://kalingauniversity.ac.in/courses/master-of-arts-in-physical-education,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,MA (Physical Education),2,4,18000,1500,82400,,
Master Of Business Administration,MBA,PG,Faculty of Commerce and Management,https://kalingauniversity.ac.in/courses/master-of-business-administration,Banking & Insurance; Business Analytics; Digital Marketing & E-Commerce; Finance Management; Healthcare & Hospital Management; Human Resource Management; International Business Management; Logistics and Supply Chain Management; Marketing Management; Pharmaceutical Business Management; Startup and Entrepreneurship; Hotel & Hospitality Management; Information Technology; NGO Management,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,MBA**,2,4,125000,1500,515950,,
Master Of Commerce,M.Com.,PG,Faculty of Commerce and Management,https://kalingauniversity.ac.in/courses/master-of-commerce,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Master of Commerce (M. Com. Pass),2,4,30000,1500,130400,,
Master of Computer Applications,MCA,PG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/master-of-computer-applications,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Master in Computer Application (MCA),2,4,32500,1500,140400,72400,
Master of Computer Science in AI & ML and Cybersecurity,M.CS in AI & ML and Cybersecurity,PG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/master-of-computer-science-in-artificial-intelligence-machine-learning-and-cybersecurity,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,M. CS in AI & ML and Cyber Security,2,4,40000,1500,170400,,
Master of Data Science,MDS,PG,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/master-of-data-science,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,Master in Data Science,2,4,50000,1500,210400,,
Master of Fashion Design,M.FD,PG,Faculty of Science,https://kalingauniversity.ac.in/courses/master-of-fashion-design,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,5,9,Master of Fashion Design (M.FD),2,4,35000,1500,150400,,
Master of Interior Design,M.ID,PG,Faculty of Science,https://kalingauniversity.ac.in/courses/master-of-interior-design,,Kalinga Incubation Foundation (KIF); Student Clubs; Student Welfare Services,5,9,Master of Interior Design (M.ID),2,4,35000,1500,150400,,
Master of Law [Dual Specialisation],LLM [Dual Specialisation],PG,Faculty of Law,https://kalingauniversity.ac.in/courses/master-of-law,Cyber Law; Crime and Torts; Business and Corporate Law; Intellectual Property Rights (IPR); Constitutional & Administrative Law; Labour Law,Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF); Student Welfare Services,5,9,LLM (Dual Specialisation),2,4,32500,1500,140400,,
Master of Library & Information Science,M.Lib.,PG,Faculty of Science,https://kalingauniversity.ac.in/courses/master-of-library-information-science,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,Master of Library & Information Science (M. Lib.),1,2,16000,1500,39400,,
Master of Pharmacy,M.Pharmacy,PG,Faculty of Pharmacy,https://kalingauniversity.ac.in/courses/master-of-pharmacy,Pharmacology; Pharmaceutics; Pharmaceutical Chemistry,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,M. Pharmacy,2,4,60000,1500,256450,,
Master of Science,M.Sc.,PG,Faculty of Science,https://kalingauniversity.ac.in/courses/master-of-science,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,Master of Science,2,4,22500,1500,100400,,
Master of Science in Forensic Science,M.Sc. [Forensic Science],PG,Faculty of Science,https://kalingauniversity.ac.in/courses/master-of-science-in-forensic-science,,Central Instrumentation Facility; Kalinga Incubation Foundation (KIF); Research Facilities,5,9,Master of Science (Forensic Science),2,4,50000,1500,210400,,
Master of Science in Yoga,M.Sc. Yoga,PG,Faculty of Science,https://kalingauniversity.ac.in/courses/master-of-science-in-yoga,,Sports Centre; Student Clubs; Student Welfare Services,5,9,MSc Yoga,2,4,27500,1500,120400,,
Master of Social Work (With PSC Coaching),MSW [With PSC Coaching],PG,Faculty of Arts & Humanities,https://kalingauniversity.ac.in/courses/master-of-social-work-with-psc-coaching,,Kalinga Incubation Foundation (KIF); Student Clubs; Students Welfare Services,5,9,MSW,2,4,17500,1500,80400,,
Master of Technology in Civil Engineering,M.Tech Civil,PG,Faculty of Technology,https://kalingauniversity.ac.in/courses/master-of-technology-in-civil-engineering,Highway Engineering; Structural Engineering,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,M.Tech,2,4,30000,1500,130400,,Fee row covers several programmes: M.Tech
Master of Technology in Computer Science Engineering,M.Tech Computer Science,PG,Faculty of Technology,https://kalingauniversity.ac.in/courses/master-of-technology-in-computer-science-engineering,Multimedia Technology; Object-Oriented Software Development (OOSD); Artificial Intelligence and Machine Learning (AI & ML),Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,M.Tech,2,4,30000,1500,130400,,Fee row covers several programmes: M.Tech
Master of Technology in Electrical Engineering,M.Tech Electrical,PG,Faculty of Technology,https://kalingauniversity.ac.in/courses/master-of-technology-in-electrical-engineering,Instrumentation and Control; Power System Control,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,M.Tech,2,4,30000,1500,130400,,Fee row covers several programmes: M.Tech
Master of Technology in Mechanical Engineering,M.Tech Mechanical,PG,Faculty of Technology,https://kalingauniversity.ac.in/courses/master-of-technology-in-mechanical-engineering,Machine Design; Production Technology; Thermal Engineering,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,M.Tech,2,4,30000,1500,130400,,Fee row covers several programmes: M.Tech
Post Graduate Diploma in Computer Applications,PGDCA,PG Diploma,Faculty of Information Technology,https://kalingauniversity.ac.in/courses/post-graduate-diploma-in-computer-applications,,Career Development Centre; Corporate Training And Consultancy Division (CTCD); Kalinga Incubation Foundation (KIF),5,9,PGDCA,1,2,10000,1500,27400,,
Post Graduate Diploma in Yoga,PG Diploma in Yoga,PG Diploma,Faculty of Science,https://kalingauniversity.ac.in/courses/post-graduate-diploma-in-yoga,,Sports Centre; Student Clubs; Student Welfare Services,5,9,PG Diploma in Yoga,1,2,20000,1500,47400,,
